Date,Open,High,Low,Close,Volume
1982-12-10,138.7,143.68,138.01,139.57,521866661
1982-12-17,139.57,142.5,134.79,137.49,435822223
1982-12-24,137.49,139.94,136.07,139.72,318411111
1982-12-31,139.73,142.34,139.72,140.64,307333333
1983-01-07,140.65,146.46,138.08,145.18,540777783
1983-01-14,145.19,148.36,144.58,146.65,526111129
1983-01-21,146.65,147.9,143.25,143.85,453766667
1983-01-28,143.84,145.47,139.1,144.51,468744450
1983-02-04,144.51,146.14,141.9,146.14,436666667
1983-02-11,146.14,148.81,144.09,147.65,474822216
1983-02-18,147.71,149.41,143.84,148,440144444
1983-02-25,148.01,150.88,145.4,149.74,424855561
1983-03-04,149.74,154.16,147.81,153.67,561633334
1983-03-11,153.67,154.01,150.65,151.24,455922228
1983-03-18,151.28,151.62,149.12,149.9,392522223
1983-03-25,149.82,153.78,149.32,152.67,462688889
1983-04-01,152.67,155.02,151.42,152.96,333533339
1983-04-08,152.92,153.92,150.17,152.85,396833332
1983-04-15,152.87,158.75,152.87,158.75,490677773
1983-04-22,158.75,161.08,158.41,160.42,542722228
1983-04-29,160.43,164.43,158.07,164.43,555177778
1983-05-06,164.41,166.99,160.8,166.1,572744444
1983-05-13,166.1,166.46,163.82,164.91,516300000
1983-05-20,164.9,165.18,161.25,162.14,457722222
1983-05-27,162.06,166.39,160.29,164.46,541255567
1983-06-03,164.44,164.79,161.33,164.42,368033326
1983-06-10,164.43,165.09,160.8,162.68,487477778
1983-06-17,162.7,169.64,162.7,169.13,555566661
1983-06-24,169.13,171.6,168.25,170.41,519799988
1983-07-01,170.4,170.46,165.43,168.64,416766666
1983-07-08,166.55,169.15,165.8,167.08,351822228
1983-07-15,167.09,168.11,164.03,164.29,385988890
1983-07-22,164.28,169.8,163.3,168.89,470144434
1983-07-29,167.67,170.72,161.5,162.56,486555561
1983-08-05,162.34,163.44,159.63,161.74,445288883
1983-08-12,161.73,162.6,158.5,162.16,420277778
1983-08-19,162.22,165.91,162.22,163.98,426677778
1983-08-26,164.18,165.64,159.96,162.14,385788888
1983-09-02,162.14,165.07,160.97,165,368466667
1983-09-09,165.2,168.48,165.03,166.92,376644445
1983-09-16,166.95,169.2,164.17,166.25,452566666
1983-09-23,166.27,170.17,166.26,169.51,522433344
1983-09-30,169.53,170.41,165.63,166.07,431011110
1983-10-07,165.99,171.1,164.93,170.8,545677754
1983-10-14,170.77,172.65,169.13,169.86,401711111
1983-10-21,169.85,171.18,164.98,165.95,504711106
1983-10-28,165.85,167.15,163.23,163.37,453633333
1983-11-04,163.37,165.21,162.22,162.44,462844450
1983-11-11,162.42,166.3,161.63,166.29,422666666
1983-11-18,166.29,167.58,164.5,165.09,463466666
1983-11-25,165.04,167.26,165,167.18,423544438
1983-12-02,167.2,168.07,165.25,165.44,555255567
1983-12-09,165.44,166.34,164.5,165.08,531666671
1983-12-16,165.13,165.63,161.58,162.39,472888888
1983-12-23,162.34,164.18,161.64,163.22,484411111
1983-12-30,163.22,165.84,163.22,164.93,342066667
1984-01-06,164.93,169.31,163.98,169.28,535444433
1984-01-13,169.18,169.54,166.64,167.02,573922227
1984-01-20,167.02,168.34,165.87,166.21,541388883
1984-01-27,166.21,167.12,163.07,163.94,570388888
1984-02-03,164.4,164.67,160.82,160.91,604622222
1984-02-10,160.91,160.91,154.3,156.3,593366672
1984-02-17,156.3,157.48,154.13,155.74,470533327
1984-02-24,155.71,157.51,152.13,157.51,405344445
1984-03-02,157.51,159.9,156.41,159.24,525822228
1984-03-09,159.24,159.24,153.77,154.35,441488889
1984-03-16,154.35,160.45,154.35,159.27,513155556
1984-03-23,159.27,159.27,156.02,156.86,449766667
1984-03-30,156.86,160.46,156.31,159.18,445188882
1984-04-06,159.18,159.87,154.12,155.48,505433328
1984-04-13,155.48,158.87,154.17,157.31,474211117
1984-04-20,157.31,159.59,156.49,158.02,369911106
1984-04-27,158.02,160.69,156.61,159.89,477988889
1984-05-04,159.89,162.11,158.93,159.11,534288876
1984-05-11,159.11,161.31,157.42,158.49,488388889
1984-05-18,158.49,158.49,155.24,155.78,459933328
1984-05-25,155.78,156.11,150.8,151.62,468144444
1984-06-01,151.62,153.24,148.68,153.24,391833333
1984-06-08,153.24,155.4,153.24,155.17,461088889
1984-06-15,155.17,155.17,149.02,149.03,428666667
1984-06-22,149.03,155.64,148.53,154.46,570855561
1984-06-29,154.46,154.67,151.3,153.18,446977783
1984-07-06,153.16,153.87,151.63,152.24,301266666
1984-07-13,152.24,153.53,149.63,150.88,444344444
1984-07-20,150.88,152.6,149.07,149.55,441411112
1984-07-27,149.55,151.38,147.26,151.19,482933333
1984-08-03,151.19,162.56,149.65,162.35,773377791
1984-08-10,162.35,168.59,160.81,165.42,838000001
1984-08-17,164.84,166.09,162.75,164.14,462688894
1984-08-24,164.14,168.8,163.76,167.51,524800000
1984-08-31,167.51,168.21,165.78,166.68,385755555
1984-09-07,166.68,166.68,163.84,164.37,341544444
1984-09-14,164.37,169.65,163.06,168.78,557322223
1984-09-21,168.78,169.37,165.66,165.67,587799995
1984-09-28,165.67,167.2,164.45,166.1,478511111
1984-10-05,166.1,166.1,162.2,162.68,461155556
1984-10-12,162.68,164.47,160.02,164.18,440755544
1984-10-19,164.18,169.62,163.71,167.96,674066678
1984-10-26,167.96,168.36,164.93,165.29,490622222
1984-11-02,165.29,167.95,164.67,167.42,504888901
1984-11-09,167.42,170.41,167.33,167.6,521033332
1984-11-16,167.65,167.65,164.09,164.1,404455556
1984-11-23,164.1,166.92,163.03,166.92,342777778
1984-11-30,166.92,166.92,162.99,163.58,457477772
1984-12-07,163.58,163.91,161.76,162.26,492011112
1984-12-14,162.26,163.53,161.54,162.69,462222223
1984-12-21,162.69,169.03,162.44,165.51,658344450
1984-12-28,165.51,166.93,165.5,166.26,277133333
1985-01-04,166.26,167.34,163.36,163.68,349377779
1985-01-11,163.68,168.72,163.68,167.91,566477768
1985-01-18,167.91,171.94,167.58,171.32,704444445
1985-01-25,171.32,178.16,171.31,177.35,832333333
